"method","I","B","C","G","seed","lp","projection","runtime","EI_Z","EI_V","MAE_Z","MAE_V","MAE_p"
"mult",100,50,10,8,1,"lp",TRUE,0.218066782,23.7508439555153,6.88372762794509,0.593771098887885,8.60465953493136,0.0156849640199855
"mult",100,50,10,8,1,"lp",FALSE,0.015618827,23.8213260112683,6.97594038636565,0.59553315028171,8.71992548295706,0.0159221365895802
"mult",100,50,10,8,1,"project_lp",TRUE,0.018379193,23.7706050639469,6.95830368135277,0.594265126598673,8.69787960169096,0.0157703833857726
"mult",100,50,10,8,1,"project_lp",FALSE,0.001105811,23.8191648586709,6.98585718969982,0.595479121466774,8.73232148712477,0.0159221365895802
"mult",100,50,10,8,2,"",TRUE,0.000303974,23.9195396112978,7.93180159297467,0.597988490282447,9.91475199121835,0.0200072406162589
"mult",100,50,10,8,2,"lp",TRUE,0.353883177,23.7081444553732,7.91739039366335,0.59270361138433,9.89673799207919,0.0203482081145626
"mult",100,50,10,8,2,"lp",FALSE,0.021533651,23.8818350893345,7.92671998305473,0.597045877233366,9.90839997881841,0.0200072406162589
"mult",100,50,10,8,2,"project_lp",TRUE,0.050487482,23.7413862871206,7.93698687020477,0.593534657178017,9.92123358775596,0.020199144902526
"mult",100,50,10,8,2,"project_lp",FALSE,0.00473509,23.8443733038427,7.91471559051428,0.596109332596066,9.89339448814285,0.0200072406162589
"mult",100,50,10,8,3,"",TRUE,0.000305245,21.8570660612925,7.06155047421634,0.546426651532313,8.82693809277042,0.0150662558422006
"mult",100,50,10,8,3,"lp",TRUE,0.354555905,21.776590633237,7.46312852844475,0.544414765830928,9.32891066055593,0.0157042980477962
"mult",100,50,10,8,3,"lp",FALSE,0.023596238,21.7394207825962,7.1462177985432,0.543485519564905,8.932772248179,0.0150662558422006
"mult",100,50,10,8,3,"project_lp",TRUE,0.097302184,21.8611823770425,7.73647641709312,0.546529559426064,9.67059552136639,0.0158403274808784
"mult",100,50,10,8,3,"project_lp",FALSE,0.00882607,21.7502460766775,7.21196231168001,0.543756151916937,9.01495288960001,0.0150662558422006
"mult",100,50,10,8,4,"",TRUE,0.000326934,21.8473076200393,5.44923526735188,0.546182690500983,6.81154408418985,0.0149416398883444
"mult",100,50,10,8,4,"lp",TRUE,0.266649814,21.8630041959855,5.60854722484136,0.546575104899637,7.0106840310517,0.015226482658036
"mult",100,50,10,8,4,"lp",FALSE,0.019284432,21.8658743361769,5.4382845118724,0.546646858404422,6.7978556398405,0.0149416398883444
"mult",100,50,10,8,4,"project_lp",TRUE,0.00946444,21.8009144952474,5.57106299256682,0.545022862381185,6.96382874070853,0.015048840998696
"mult",100,50,10,8,4,"project_lp",FALSE,0.000946977,21.8377284584806,5.43676059019151,0.545943211462016,6.79595073773939,0.0149416398883444
"mult",100,50,10,8,5,"",TRUE,0.000269206,22.91896983622,6.14459619490509,0.572974245905502,7.68074524363136,0.014502359629344
"mult",100,50,10,8,5,"lp",TRUE,0.262860512,22.7635271619871,6.01049173445208,0.569088179049675,7.5131146680651,0.0145304392274478
"mult",100,50,10,8,5,"lp",FALSE,0.017523892,22.8858946715617,6.11419969116285,0.572147366789043,7.64274961395356,0.014502359629344
"mult",100,50,10,8,5,"project_lp",TRUE,0.0710325,22.8303114093181,6.127624536008,0.570757785232953,7.65953067000999,0.01472399606597
"mult",100,50,10,8,5,"project_lp",FALSE,0.004495896,22.9031679512886,6.13803139815014,0.572579198782215,7.67253924768768,0.014502359629344
"mult",100,50,10,8,6,"",TRUE,0.000283269,22.7800887809116,7.29886136005042,0.569502219522788,9.12357670006302,0.0168600383091216
"mult",100,50,10,8,6,"lp",TRUE,0.267226725,22.7554062600437,7.46512105843126,0.568885156501093,9.33140132303907,0.0171999023935343
"mult",100,50,10,8,6,"lp",FALSE,0.018537576,22.7620356106473,7.32304698291004,0.569050890266183,9.15380872863754,0.0168600383091216
"mult",100,50,10,8,6,"project_lp",TRUE,0.030715683,22.7427773704445,7.41477627914596,0.568569434261112,9.26847034893245,0.0171534523776091
"mult",100,50,10,8,6,"project_lp",FALSE,0.003329897,22.7538652003303,7.30887001879278,0.568846630008258,9.13608752349097,0.0168600383091216
